consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,scale,label,item_type,item_no,sentence,question,correct_option,granularity,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,next_slide_key.started,question_text_2.started,triangle.started,slider_image.started,arrow.started,next_slide_key.keys,next_slide_key.rt,image.started,question_text.started,spacebar_text.started,slider.started,spacebar_continue.started,spacebar_continue.keys,spacebar_continue.rt,slider.response,slider.rt,participant,session,study_id,date,expName,psychopyVersion,frameRate,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,18.093207700003404,y,0.484835600014776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.59792849997757,18.59792849997757,18.59792849997757,18.59792849997757,18.59792849997757,18.59792849997757,18.59792849997757,2.7839715000009164,21,4.0,2.773822500021197,,0.022222222222222223,-0.41805555555555557,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,3.0,3.0,3.0,3.0,26.554735099954996,26.554735099954996,26.554735099954996,26.554735099954996,26.554735099954996,26.554735099954996,26.554735099954996,26.554735099954996,26.554735099954996,space,1.2015389000298455,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,Slide 2 of 8,"First, you should read the title of the graph.",10.0,0.05,-0.24,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.775188500003424,27.775188500003424,27.775188500003424,27.775188500003424,27.775188500003424,27.775188500003424,27.775188500003424,27.775188500003424,27.775188500003424,space,0.14538489998085424,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,Slide 3 of 8,Then you should look at the image. The x-axis shows the month of year. The y-axis shows the number of deaths.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.940690199960954,27.940690199960954,27.940690199960954,27.940690199960954,27.940690199960954,27.940690199960954,27.940690199960954,27.940690199960954,27.940690199960954,space,0.14299050002591684,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,Slide 4 of 8,Data on different states using different colour schemes are shown. Higher number of deaths suggest higher severity of Covid 19.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.107905799988657,28.107905799988657,28.107905799988657,28.107905799988657,28.107905799988657,28.107905799988657,28.107905799988657,28.107905799988657,28.107905799988657,space,0.13280129997292534,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate the severity of Covid 19 in the shown region.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.262250799976755,28.262250799976755,28.262250799976755,28.262250799976755,28.262250799976755,28.262250799976755,28.262250799976755,28.262250799976755,28.262250799976755,space,0.1274464000016451,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.411069899972063,28.411069899972063,28.411069899972063,28.411069899972063,28.411069899972063,28.411069899972063,28.411069899972063,28.411069899972063,28.411069899972063,space,0.13060410000616685,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.559917000005953,28.559917000005953,28.559917000005953,28.559917000005953,28.559917000005953,28.559917000005953,28.559917000005953,28.559917000005953,28.559917000005953,space,0.2907728999853134,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.87426489999052,28.87426489999052,28.87426489999052,28.87426489999052,28.87426489999052,28.87426489999052,28.87426489999052,28.87426489999052,28.87426489999052,space,0.3059812000137754,,,,,,,,,,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,blank,E,44,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/44bg.png,,,,,,,,,,,,,0,0,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.28166959999362,29.28166959999362,29.28166959999362,29.28166959999362,30.638722400006372,space,1.0825247000320815,1.6277777777777778,1.3606591999996454,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,23,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/23br.png,,,,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.78829080000287,31.78829080000287,31.78829080000287,31.78829080000287,32.904936699953396,space,0.5425051999627613,1.7222222222222223,1.1096772000310011,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,blank,E,15,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/15br.png,,,,,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.52493329998106,33.52493329998106,33.52493329998106,33.52493329998106,33.89239110000199,space,0.050994699995499104,1.7222222222222223,0.3656638999818824,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,label,E,17,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/17wr.png,,,,,,,,,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.030086799990386,34.030086799990386,34.030086799990386,34.030086799990386,34.30846779997228,space,0.01206770003773272,1.8180555555555555,0.27683210000395775,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,label,E,10,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/10wg.png,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3957513999776,34.3957513999776,34.3957513999776,34.3957513999776,34.64513169997372,space,0.04314969998085871,1.7888888888888888,0.24539990001358092,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,label,E,18,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/18wg.png,,,,,,,,,,,,,0,5,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.754587800009176,34.754587800009176,34.754587800009176,34.754587800009176,34.99445359996753,space,0.015832699951715767,1.7833333333333332,0.2369505999959074,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,blank,E,27,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/27br.png,,,,,,,,,,,,,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.081450500001665,35.081450500001665,35.081450500001665,35.081450500001665,35.326128699991386,space,0.3402055000187829,1.8069444444444445,0.5438801000127569,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,label,E,26,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/26wg.png,,,,,,,,,,,,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.73056729999371,35.73056729999371,35.73056729999371,35.73056729999371,35.9601740000071,space,0.04470550001133233,1.8125,0.2319870999781415,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,43,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/43br.png,,,,,,,,,,,,,0,8,8,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.069195899995975,36.069195899995975,36.069195899995975,36.069195899995975,36.3774001999991,space,0.11449170002015308,1.7819444444444446,0.3064631000161171,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,label,E,1,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/1wr.png,,,,,,,,,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.56320079998113,36.56320079998113,36.56320079998113,36.56320079998113,36.834834299981594,space,0.04611799999838695,1.7888888888888888,0.27199320000363514,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,31,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/31br.png,,,,,,,,,,,,,0,10,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.95167039998341,36.95167039998341,36.95167039998341,36.95167039998341,37.18542469997192,space,0.057679699966683984,1.7888888888888888,0.23070169996935874,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,4,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/4bg.png,,,,,,,,,,,,,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.31183979997877,37.31183979997877,37.31183979997877,37.31183979997877,37.541094699990936,space,0.07081820000894368,1.7902777777777779,0.22949009999865666,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,label,E,9,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/9wr.png,,,,,,,,,,,,,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.673280799994245,37.673280799994245,37.673280799994245,37.673280799994245,37.96054000000004,space,0.032332199974916875,1.7902777777777779,0.28259600000455976,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,28,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/28bg.png,,,,,,,,,,,,,0,13,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.06121680000797,38.06121680000797,38.06121680000797,38.06121680000797,38.283480799989775,space,0.044386700028553605,1.7902777777777779,0.22257619997253641,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,40,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/40bg.png,,,,,,,,,,,,,0,14,14,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.39976030000253,38.39976030000253,38.39976030000253,38.39976030000253,38.641539599979296,space,0.40669299999717623,1.7902777777777779,0.5991321000037715,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,blank,E,20,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/20bg.png,,,,,,,,,,,,,0,15,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.11108889995376,39.11108889995376,39.11108889995376,39.11108889995376,39.48145779996412,space,0.04580389999318868,1.725,0.36632020003162324,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,35,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/35br.png,,,,,,,,,,,,,0,16,16,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.590641999966465,39.590641999966465,39.590641999966465,39.590641999966465,39.91860589996213,space,0.021668899978976697,1.7527777777777778,0.3221056000329554,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,7,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/7br.png,,,,,,,,,,,,,0,17,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9994977999595,39.9994977999595,39.9994977999595,39.9994977999595,40.31699939997634,space,0.018954900035168976,1.7569444444444444,0.31188959995051846,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,label,E,42,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/42wg.png,,,,,,,,,,,,,0,18,18,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.396349299990106,40.396349299990106,40.396349299990106,40.396349299990106,40.714644799998496,space,0.02395180001622066,1.7569444444444444,0.31548859999747947,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,label,E,34,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/34wg.png,,,,,,,,,,,,,0,19,19,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.805268600001,40.805268600001,40.805268600001,40.805268600001,41.138408400001936,space,0.02919919998385012,1.7555555555555555,0.33253219997277483,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,blank,E,49,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/49wr.png,,,,,,,,,,,,,0,20,20,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.22983009996824,41.22983009996824,41.22983009996824,41.22983009996824,41.521374300005846,space,0.03922199999215081,1.7513888888888889,0.2862091999850236,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,label,E,37,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/37wr.png,,,,,,,,,,,,,0,21,21,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.625926599954255,41.625926599954255,41.625926599954255,41.625926599954255,41.892070600006264,space,0.045884800027124584,1.7513888888888889,0.2690621999790892,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,label,AC,51,Ignore the map. Move the marker all the way to the 'Not very urgently' end of the scale.,"Based on the text above, how have you been asked to respond?",1.0,0.5,map_generator/charts/1wr.png,,,,,,,,,,,,,0,22,22,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.004836899985094,42.004836899985094,42.004836899985094,42.004836899985094,42.28519389999565,space,11.029098100028932,2.0,11.191596999997273,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,trunc,label,E,14,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/14wg.png,,,,,,,,,,,,,0,23,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.39566189999459,53.39566189999459,53.39566189999459,53.39566189999459,54.14124809997156,space,0.14553030004026368,2,0.7305359999882057,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,extend,blank,E,32,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/32bg.png,,,,,,,,,,,,,0,24,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.39464179996867,54.39464179996867,54.39464179996867,54.39464179996867,54.71062199998414,space,0.8396881999797188,1.7263888888888888,0.4794704000232741,,,,2023-03-07_12h20.56.197,BZ,2022.2.4,165.58210398664417,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.617185799987055,55.617185799987055,55.617185799987055,55.617185799987055,,,,,,,,,,,,,
