consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,scale,label,item_type,item_no,sentence,question,correct_option,granularity,file_path,item_no2,sentence2,question2,correct_option2,granularity2,file_path2,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,next_slide_key.started,question_text_2.started,triangle.started,slider_image.started,arrow.started,next_slide_key.keys,next_slide_key.rt,image.started,question_text.started,spacebar_text.started,slider.started,spacebar_continue.started,spacebar_continue.keys,spacebar_continue.rt,slider.response,slider.rt,image_2.started,question_text_3.started,spacebar_continue_2.started,spacebar_text_2.started,slider_2.started,spacebar_continue_2.keys,spacebar_continue_2.rt,slider_2.response,slider_2.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,mouse_2.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8229875000543,69.8229875000543,69.8229875000543,69.8229875000543,69.8229875000543,69.8229875000543,69.8229875000543,5.521027700044215,21,4.0,5.505924500001129,,0.03680555555555556,-0.4173611111111111,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,3.0,3.0,3.0,3.0,80.7893088000128,80.7893088000128,80.7893088000128,80.7893088000128,80.7893088000128,80.7893088000128,80.7893088000128,80.7893088000128,80.7893088000128,space,1.8090879000374116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,Slide 2 of 8,"First, you should read the title of the graph.",10.0,0.05,-0.24,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.62649560003774,82.62649560003774,82.62649560003774,82.62649560003774,82.62649560003774,82.62649560003774,82.62649560003774,82.62649560003774,82.62649560003774,space,1.7768397000036202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,Slide 3 of 8,Then you should look at the image. The x-axis shows the month of year. The y-axis shows the number of deaths.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.43158530001529,84.43158530001529,84.43158530001529,84.43158530001529,84.43158530001529,84.43158530001529,84.43158530001529,84.43158530001529,84.43158530001529,space,4.221983399998862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,Slide 4 of 8,Data on different states using different colour schemes are shown. Higher number of deaths suggest higher severity of Covid 19.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.67514750000555,88.67514750000555,88.67514750000555,88.67514750000555,88.67514750000555,88.67514750000555,88.67514750000555,88.67514750000555,88.67514750000555,space,1.9792049000388943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate the severity of Covid 19 in the shown region.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.6804844000144,90.6804844000144,90.6804844000144,90.6804844000144,90.6804844000144,90.6804844000144,90.6804844000144,90.6804844000144,90.6804844000144,space,4.190142299979925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.89026180002838,94.89026180002838,94.89026180002838,94.89026180002838,94.89026180002838,94.89026180002838,94.89026180002838,94.89026180002838,94.89026180002838,space,1.6750517000327818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.59254000004148,96.59254000004148,96.59254000004148,96.59254000004148,96.59254000004148,96.59254000004148,96.59254000004148,96.59254000004148,96.59254000004148,space,3.779377700004261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.39984160003951,100.39984160003951,100.39984160003951,100.39984160003951,100.39984160003951,100.39984160003951,100.39984160003951,100.39984160003951,100.39984160003951,space,0.7089329999871552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,blank,E,12,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/12bg.png,,,,,,,,,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.20642700005556,101.20642700005556,101.20642700005556,101.20642700005556,139.59948670002632,space,0.32449439994525164,1.5180555555555557,38.3956830999814,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,blank,E,43,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/43br.png,,,,,,,,,,,,,,,,,,,0,1,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00194420001935,140.00194420001935,140.00194420001935,140.00194420001935,140.63882500003092,space,0.4124017999856733,1.5194444444444444,0.9355549999745563,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,blank,E,47,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/47br.png,,,,,,,,,,,,,,,,,,,0,2,2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.12096150004072,141.12096150004072,141.12096150004072,141.12096150004072,141.48109260003548,space,0.2492295000120066,1.7958333333333334,0.3534158000256866,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,label,E,6,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/6wg.png,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.7977381000528,141.7977381000528,141.7977381000528,141.7977381000528,142.14130980003392,space,0.4326238000066951,1.6861111111111111,0.7106936000054702,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,blank,E,7,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/7br.png,,,,,,,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.64464790001512,142.64464790001512,142.64464790001512,142.64464790001512,142.9988267000299,space,0.05891630001133308,1.6875,0.3551281000254676,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,label,E,37,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/37wr.png,,,,,,,,,,,,,,,,,,,0,5,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.130782000022,143.130782000022,143.130782000022,143.130782000022,143.45502360002138,space,0.05971200001658872,1.6888888888888889,0.32318809995194897,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,label,E,14,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/14wg.png,,,,,,,,,,,,,,,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.57789920002688,143.57789920002688,143.57789920002688,143.57789920002688,143.876133200014,space,0.06886279996251687,1.6888888888888889,0.29283160000341013,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,blank,E,3,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/3br.png,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.01571590005187,144.01571590005187,144.01571590005187,144.01571590005187,144.28460030001588,space,0.0848697999608703,1.6888888888888889,0.2629570999997668,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,blank,E,50,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/50wg.png,,,,,,,,,,,,,,,,,,,0,8,8,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.43651340005454,144.43651340005454,144.43651340005454,144.43651340005454,144.6636268000002,space,0.11897709994809702,1.6888888888888889,0.21957519999705255,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,label,E,2,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/2wg.png,,,,,,,,,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.85112750000553,144.85112750000553,144.85112750000553,144.85112750000553,145.09918180003297,space,0.05643460003193468,1.6888888888888889,0.23940909997327253,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,blank,E,27,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/27br.png,,,,,,,,,,,,,,,,,,,0,10,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.22370570001658,145.22370570001658,145.22370570001658,145.22370570001658,145.50148670002818,space,0.05117120000068098,1.6902777777777778,0.2629981000209227,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,label,E,18,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/18wg.png,,,,,,,,,,,,,,,,,,,0,11,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.62500840000575,145.62500840000575,145.62500840000575,145.62500840000575,145.88276460004272,space,0.09295269998256117,1.6902777777777778,0.2527125999913551,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,blank,E,32,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/32bg.png,,,,,,,,,,,,,,,,,,,0,12,12,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.04862780001713,146.04862780001713,146.04862780001713,146.04862780001713,146.26665340003092,space,0.12230590003309771,1.7013888888888888,0.21315640001557767,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,label,E,25,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/25wr.png,,,,,,,,,,,,,,,,,,,0,13,13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.45670920005068,146.45670920005068,146.45670920005068,146.45670920005068,146.68851540004835,space,0.08143359998939559,1.7013888888888888,0.2263014999916777,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,blank,E,36,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/36bg.png,,,,,,,,,,,,,,,,,,,0,14,14,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.84679900004994,146.84679900004994,146.84679900004994,146.84679900004994,147.10110710002482,space,0.0857881999691017,1.7013888888888888,0.2554122000001371,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,label,E,10,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/10wg.png,,,,,,,,,,,,,,,,,,,0,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.25760770001216,147.25760770001216,147.25760770001216,147.25760770001216,147.48883850005222,space,0.1240690000122413,1.7013888888888888,0.2226043000118807,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,blank,E,4,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/4bg.png,,,,,,,,,,,,,,,,,,,0,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.69274920003954,147.69274920003954,147.69274920003954,147.69274920003954,147.90241480001714,space,0.0855151999858208,1.7013888888888888,0.20457210001768544,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,blank,E,16,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/16bg.png,,,,,,,,,,,,,,,,,,,0,17,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.06201450002845,148.06201450002845,148.06201450002845,148.06201450002845,148.30279710004106,space,0.06712929997593164,1.7013888888888888,0.23814049997599795,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,label,E,26,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/26wg.png,,,,,,,,,,,,,,,,,,,0,18,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.4475580000435,148.4475580000435,148.4475580000435,148.4475580000435,148.66840540000703,space,0.07712520001223311,1.7013888888888888,0.21645000000717118,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,blank,E,23,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/23br.png,,,,,,,,,,,,,,,,,,,0,19,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.80605890002334,148.80605890002334,148.80605890002334,148.80605890002334,149.07024900004035,space,0.0609664999647066,1.7013888888888888,0.25891849998151883,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,blank,E,24,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/24bg.png,,,,,,,,,,,,,,,,,,,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.19321360002505,149.19321360002505,149.19321360002505,149.19321360002505,149.38982820004458,space,0.1145124000031501,1.7013888888888888,0.18893559998832643,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,blank,E,44,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/44bg.png,,,,,,,,,,,,,,,,,,,0,21,21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.5853841000353,149.5853841000353,149.5853841000353,149.5853841000353,149.73039600002812,space,0.13833849999355152,1.7027777777777777,0.1524877999909222,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,blank,E,28,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/28bg.png,,,,,,,,,,,,,,,,,,,0,22,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.93840460001957,149.93840460001957,149.93840460001957,149.93840460001957,150.10382700001355,space,0.09419819997856393,1.7152777777777777,0.16435719997389242,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,trunc,label,E,30,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/30wg.png,,,,,,,,,,,,,,,,,,,0,23,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.26224220002769,150.26224220002769,150.26224220002769,150.26224220002769,150.4634699000162,space,0.05577330000232905,1.723611111111111,0.19585690001258627,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
,,,,,,extend,label,E,1,This graph shows the Covid 19 death rate for each month in 2021 in USA states:,How severe is Covid 19 in this region?,None,0.0,map_generator/charts/1wr.png,,,,,,,,,,,,,,,,,,,0,24,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.58816210000077,150.58816210000077,150.58816210000077,150.58816210000077,150.799066400039,space,0.05830710002919659,1.723611111111111,0.20486579998396337,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07_12h11.26.839,BZ,2022.2.4,164.88318028900127,
